Well,API #,Stage,Crew,Start Date,Start Time,End Date,End Time,When  (Except Pumping),Party,Reason,Comments,TimeInMin,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/11/20,6:39,4/11/20,6:46,During Stage,NPT_Operations,Hoses,replaced a leaking discharge hose,7,
Briscoe Cochina East 46 HX,42-283-36979,12,L3,4/11/20,6:46,4/11/20,8:38,,Operating,Pumping,FP40 V&S; All Prop Placed. Good Stage.,112,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/11/20,8:38,4/11/20,8:52,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HY,42-283-36980,12,L3,4/11/20,8:52,4/11/20,10:58,,Operating,Pumping, All Prop Placed. Good Stage.,126,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/11/20,10:58,4/11/20,11:12,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HZ,42-283-36978,12,L3,4/11/20,11:12,4/11/20,13:06,,Operating,Pumping,FP60 D-ring hole 5; ran a sweep due to high pressure; cut 4 loads of sand due to pressure.,114,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/11/20,13:06,4/11/20,13:30,Between Stages,Operating,Well Swap,,24,
Briscoe Cochina East 46 HX,42-283-36979,13,L3,4/11/20,13:30,4/11/20,15:45,,Operating,Pumping,FP27 V&S; FP60 V&S; FP3 packing hole 1; All Prop Placed. Good Stage.,135,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/11/20,15:45,4/11/20,17:45,Between Stages,Operating,Maintenance-Scheduled ,datavan and backside equipment PC's restart; FP27 V&S; FP60 V&S; FP40 V&S; FP99 V&S; FP79 packing hole 2; FP60 D-ring hole 5; FP3 packing hole 1;,120,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/11/20,17:45,4/11/20,18:00,Between Stages,Operating,Prime and Test,Prime and test,15,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/11/20,18:00,4/11/20,18:15,Between Stages,Operating,Prime and Test,Prime and test,15,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/11/20,18:15,4/11/20,18:29,Between Stages,NPT_Operations,Prime and Test,Swapped FP54(cracked fluid end for FP59.  Bullplugged FP23-leaking fan seal.,14,
Briscoe Cochina East 46 HY,42-283-36980,13,L2,4/11/20,18:29,4/11/20,19:38,,Operating,Pumping,FP3-packing 1.,69,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/11/20,19:38,4/11/20,19:41,During Stage,NPT_Operations,Frac Pump,Shut down to close vavle on FP3.,3,
Briscoe Cochina East 46 HY,42-283-36980,13,L2,4/11/20,19:41,4/11/20,20:11,,Operating,Pumping,FP30-packing 1.,30,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/11/20,20:11,4/11/20,20:12,During Stage,NPT_Operations,Frac Pump,Shut down to close vavle on FP30.,1,
Briscoe Cochina East 46 HY,42-283-36980,13,L2,4/11/20,20:12,4/11/20,20:43,,Operating,Pumping,Cut 1 load of proppant.  Stage complete.,31,
Briscoe Cochina East 46 HZ,42-283-36978,,L2,4/11/20,20:43,4/11/20,21:13,Between Stages,Operating,Well Swap,Wireline swapping wells,30,
Briscoe Cochina East 46 HZ,42-283-36978,,L2,4/11/20,21:13,4/11/20,21:16,Between Stages,NPT_Operations,Pump Maintenance,Pump maintenance,3,
Briscoe Cochina East 46 HZ,42-283-36978,,L2,4/11/20,21:16,4/11/20,21:21,Between Stages,Operating,Prime and Test,Prime and test,5,
Briscoe Cochina East 46 HZ,42-283-36978,13,L2,4/11/20,21:21,4/11/20,23:25,,Operating,Pumping,Cut 2 loads of proppant.,124,
Briscoe Cochina East 46 HX,42-283-36979,,L2,4/11/20,23:25,4/11/20,23:55,Between Stages,Operating,Well Swap,Wireline swapping wells,30,
Briscoe Cochina East 46 HX,42-283-36979,14,L2,4/11/20,23:55,4/12/20,1:54,,Operating,Pumping,FP55 v/s,119,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/12/20,1:54,4/12/20,2:11,Between Stages,Operating,Well Swap,,17,
Briscoe Cochina East 46 HY,42-283-36980,14,L2,4/12/20,2:11,4/12/20,2:48,,Operating,Pumping,"FP31 v/s, packing hole 4. When catching rate, globe rate on pumps and slurry rate on blender had a 15 bbl difference, both steadly dropped as time went on. FP8 v/s, Cut screws, flushed and shutdown.",37,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/12/20,2:48,4/12/20,3:09,During Stage,NPT_Operations,Frac Pump,"bull plugged FP31,FP8, FP55. FP31 cracked fluid-end",21,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/12/20,3:09,4/12/20,3:18,During Stage,NPT_Operations,Prime and Test,,9,
Briscoe Cochina East 46 HY,42-283-36980,14,L2,4/12/20,3:18,4/12/20,4:49,,Operating,Pumping,resumed stage; FP9 dring hole2&5. cut stage 1 load short,91,
Briscoe Cochina East 46 HZ,42-283-36978,,L2,4/12/20,4:49,4/12/20,5:06,Between Stages,Operating,Well Swap,drings FP9 completed,17,
Briscoe Cochina East 46 HZ,42-283-36978,14,L2,4/12/20,5:06,4/12/20,6:00,,Operating,Pumping,,54,
Briscoe Cochina East 46 HZ,42-283-36978,14,L3,4/12/20,6:00,4/12/20,7:31,,Operating,Pumping,Shift change; FP4 D-ring hole 2; FP27 over heated; ran a sweep due to high pressure; couldn't establish rate due to pumps lost; no extra time charges,91,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/12/20,7:31,4/12/20,9:31,Between Stages,Operating,Maintenance-Scheduled ,"datavan and backside equipment PC's restart; FP30 packing hole 1; FP3 packing hole 1; FP55 V&S; FP31 V&S, packing hole 4; FP8 V&S; FP4 D-ring hole 2;",120,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/12/20,9:31,4/12/20,9:46,Between Stages,Operating,Prime and Test,Prime and test,15,
Briscoe Cochina East 46 HX,42-283-36979,15,L3,4/12/20,9:46,4/12/20,11:55,,Operating,Pumping," FP74 V&S; FP60 V&S; FP23 D-ring hole 1; lost FP16 & FP19 due to low fuel, fuelers had to troubleshoot issue and fill them back up; All Prop Placed.",129,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/12/20,11:55,4/12/20,12:20,Between Stages,Operating,Well Swap,FP23 D-ring fixed and back inline,25,
Briscoe Cochina East 46 HY,42-283-36980,15,L3,4/12/20,12:20,4/12/20,14:25,,Operating,Pumping,FP59 packing hole 1; cut a load short due to pressure,125,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/12/20,14:25,4/12/20,14:40,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HZ,42-283-36978,15,L3,4/12/20,14:40,4/12/20,17:21,,Operating,Pumping,FP27 over heated; FP11 packing hole 2; ran a sweep due to high pressure; All Prop Placed; single additional time charged instead of 2 due to not achieving rate first half of the stage.,161,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/12/20,17:21,4/12/20,17:43,Between Stages,Operating,Well Swap,,22,
Briscoe Cochina East 46 HX,42-283-36979,16,L3,4/12/20,17:43,4/12/20,18:00,,Operating,Pumping,,17,
Briscoe Cochina East 46 HX,42-283-36979,16,L2,4/12/20,18:00,4/12/20,19:50,,Operating,Pumping,shift change; All Prop Placed. Good Stage.,110,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/12/20,19:50,4/12/20,20:05,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HY,42-283-36980,16,L2,4/12/20,20:05,4/12/20,22:15,,Operating,Pumping,"Switched to back up FR since LA 5 was running hot. Ran sweep during 1.75 ppg, staged into prop and only pumped 8 out of 9 loads.",130,
Briscoe Cochina East 46 HZ,42-283-36978,,L2,4/12/20,22:15,4/12/20,22:30,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HZ,42-283-36978,16,L2,4/12/20,22:30,4/13/20,0:25,,Operating,Pumping,Cut proppant on 1.75ppg.  Ran 7 of 9 loads.,115,
Briscoe Cochina East 46 HX,42-283-36979,,L2,4/13/20,0:25,4/13/20,2:06,Between Stages,Operating,Maintenance-Scheduled ,Scheduled pump maintenance.  Rebooted computers.,101,
Briscoe Cochina East 46 HX,42-283-36979,,L2,4/13/20,2:06,4/13/20,2:17,Between Stages,Operating,Prime and Test,Prime and test,11,
Briscoe Cochina East 46 HX,42-283-36979,17,L2,4/13/20,2:17,4/13/20,4:21,,Operating,Pumping,Good stage.  All proppant placed.,124,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/13/20,4:21,4/13/20,4:37,Between Stages,Operating,Well Swap,Wireline swapping wells,16,
Briscoe Cochina East 46 HY,42-283-36980,17,L2,4/13/20,4:37,4/13/20,6:00,,Operating,Pumping,,83,
Briscoe Cochina East 46 HY,42-283-36980,17,L3,4/13/20,6:00,4/13/20,6:36,,Operating,Pumping,shift change; All Prop Placed. Good Stage.,36,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/13/20,6:36,4/13/20,6:51,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HZ,42-283-36978,17,L3,4/13/20,6:51,4/13/20,8:53,,Operating,Pumping,FP40 V&S; All Prop Placed. Good Stage.,122,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/13/20,8:53,4/13/20,9:07,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HX,42-283-36979,18,L3,4/13/20,9:07,4/13/20,11:11,,Operating,Pumping,All Prop Placed. Good Stage.,124,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/13/20,11:11,4/13/20,11:26,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HY,42-283-36980,18,L3,4/13/20,11:26,4/13/20,13:29,,Operating,Pumping,FP11 V&S; All Prop Placed. Good Stage.,123,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/13/20,13:29,4/13/20,13:43,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HZ,42-283-36978,18,L3,4/13/20,13:43,4/13/20,15:49,,Operating,Pumping,FP25 V&S; All Prop Placed. Good Stage.,126,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/13/20,15:49,4/13/20,17:30,Between Stages,Operating,Maintenance-Scheduled ,Scheduled pump maintenance.  Rebooted computers.,101,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/13/20,17:30,4/13/20,17:41,Between Stages,Operating,Prime and Test,Prime and test,11,
Briscoe Cochina East 46 HX,42-283-36979,19,L3,4/13/20,17:41,4/13/20,18:00,,Operating,Pumping,Stage 19,19,
Briscoe Cochina East 46 HX,42-283-36979,19,L2,4/13/20,18:00,4/13/20,19:44,,Operating,Pumping,Good stage.  All proppant placed.,104,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/13/20,19:44,4/13/20,19:58,Between Stages,Operating,Well Swap,Wireline swapping wells,14,
Briscoe Cochina East 46 HY,42-283-36980,19,L2,4/13/20,19:58,4/13/20,22:03,,Operating,Pumping,FP40-spot check for shaking.  Good stage.  All proppant placed.,125,
Briscoe Cochina East 46 HZ,42-283-36978,,L2,4/13/20,22:03,4/13/20,22:16,Between Stages,Operating,Well Swap,Wireline swapping wells,13,
Briscoe Cochina East 46 HZ,42-283-36978,19,L2,4/13/20,22:16,4/14/20,0:20,,Operating,Pumping,FP16-packing 1; all prop placed,124,
Briscoe Cochina East 46 HX,42-283-36979,,L2,4/14/20,0:20,4/14/20,0:35,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HX,42-283-36979,20,L2,4/14/20,0:35,4/14/20,2:34,,Operating,Pumping,All Prop Placed. Good Stage.,119,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/14/20,2:34,4/14/20,2:51,Between Stages,Operating,Well Swap,,17,
Briscoe Cochina East 46 HY,42-283-36980,20,L2,4/14/20,2:51,4/14/20,4:52,,Operating,Pumping,All Prop Placed. Good Stage.,121,
Briscoe Cochina East 46 HZ,42-283-36978,,L2,4/14/20,4:52,4/14/20,5:06,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HZ,42-283-36978,20,L2,4/14/20,5:06,4/14/20,6:00,,Operating,Pumping,,54,
Briscoe Cochina East 46 HZ,42-283-36978,20,L3,4/14/20,6:00,4/14/20,7:10,,Operating,Pumping,shift change; All Prop Placed. Good Stage.,70,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/14/20,7:10,4/14/20,8:45,Between Stages,Operating,Maintenance-Scheduled ,Scheduled pump maintenance; Rebooted computers.,95,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/14/20,8:45,4/14/20,8:58,Between Stages,Operating,Prime and Test,,13,
Briscoe Cochina East 46 HX,42-283-36979,21,L3,4/14/20,8:58,4/14/20,11:00,,Operating,Pumping,FP7 transducer issue; All Prop Placed. Good Stage.,122,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/14/20,11:00,4/14/20,11:14,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HY,42-283-36980,21,L3,4/14/20,11:14,4/14/20,13:18,,Operating,Pumping,FP74 packing hole 5; FP47 V&S; FP99 transducer issue; All Prop Placed. Good Stage.,124,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/14/20,13:18,4/14/20,13:48,Between Stages,Operating,Well Swap,FP7 & FP99 are back inline,30,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/14/20,13:48,4/14/20,14:26,Between Stages,NPT_Operations,Prime and Test,,38,
Briscoe Cochina East 46 HZ,42-283-36978,21,L3,4/14/20,14:26,4/14/20,16:32,,Operating,Pumping,All Prop Placed. Good Stage.,126,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/14/20,16:32,4/14/20,16:46,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HX,42-283-36979,22,L3,4/14/20,16:46,4/14/20,18:00,,Operating,Pumping,,74,
Briscoe Cochina East 46 HX,42-283-36979,22,L2,4/14/20,18:00,4/14/20,18:48,,Operating,Pumping,All Prop Placed. Good Stage.,48,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/14/20,18:48,4/14/20,19:06,Between Stages,Operating,Well Swap,,18,
Briscoe Cochina East 46 HY,42-283-36980,22,L2,4/14/20,19:06,4/14/20,21:06,,Operating,Pumping,All Prop Placed. Good Stage.,120,
Briscoe Cochina East 46 HZ,42-283-36978,,L2,4/14/20,21:06,4/14/20,21:20,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HZ,42-283-36978,22,L2,4/14/20,21:20,4/14/20,23:24,,Operating,Pumping,All Prop Placed. Good Stage.,124,
Briscoe Cochina East 46 HX,42-283-36979,,L2,4/14/20,23:24,4/15/20,1:19,Between Stages,Operating,Maintenance-Scheduled ,FP99-Mechanical issues pulled out;FP74-packing hole 4;FP1-swapping for high stage count;FP23-V&S. Rebooted computers. ,115,
Briscoe Cochina East 46 HX,42-283-36979,23,L2,4/15/20,1:19,4/15/20,3:22,,Operating,Pumping,While getting rate FP74 kicked out and wouldn't get back into gear; All proppant placed.,123,
Briscoe Cochina East 46 HY,42-283-36980,,L2,4/15/20,3:22,4/15/20,3:40,Between Stages,Operating,Well Swap,,18,
Briscoe Cochina East 46 HY,42-283-36980,23,L2,4/15/20,3:40,4/15/20,5:41,,Operating,Pumping,Able to get into FP74 this stage;,121,
Briscoe Cochina East 46 HZ,42-283-36978,,L2,4/15/20,5:41,4/15/20,5:57,Between Stages,Operating,Well Swap,,16,
Briscoe Cochina East 46 HZ,42-283-36978,23,L2,4/15/20,5:57,4/15/20,6:00,,Operating,Pumping,,3,
Briscoe Cochina East 46 HZ,42-283-36978,23,L3,4/15/20,6:00,4/15/20,8:00,,Operating,Pumping,"shift change; FP55 stay rod nut loose; All Prop Placed, Good stage.",120,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/15/20,8:00,4/15/20,8:15,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HX,42-283-36979,24,L3,4/15/20,8:15,4/15/20,10:17,,Operating,Pumping,"All Prop Placed, Good stage.",122,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/15/20,10:17,4/15/20,10:32,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HY,42-283-36980,24,L3,4/15/20,10:32,4/15/20,12:32,,Operating,Pumping,"All Prop Placed, Good stage.",120,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/15/20,12:32,4/15/20,12:47,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HZ,42-283-36978,24,L3,4/15/20,12:47,4/15/20,14:50,,Operating,Pumping,"FP28 V&S; All Prop Placed, Good stage.",123,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/15/20,14:50,4/15/20,16:05,Between Stages,Operating,Maintenance-Scheduled ,Scheduled pump maintenance; Rebooted computers.,75,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/15/20,16:05,4/15/20,16:16,Between Stages,Operating,Prime and Test,,11,
Briscoe Cochina East 46 HX,42-283-36979,25,L3,4/15/20,16:16,4/15/20,18:00,,Operating,Pumping,,104,
Briscoe Cochina East 46 HX,42-283-36979,25,L1,4/15/20,18:00,4/15/20,18:16,,Operating,Pumping,"All Prop Placed, Good stage.",16,
Briscoe Cochina East 46 HY,42-283-36980,,L1,4/15/20,18:16,4/15/20,18:37,Between Stages,Operating,Well Swap,,21,
Briscoe Cochina East 46 HY,42-283-36980,25,L1,4/15/20,18:37,4/15/20,20:40,,Operating,Pumping,FP59 v/s; all prop placed.,123,
Briscoe Cochina East 46 HZ,42-283-36978,,L1,4/15/20,20:40,4/15/20,20:57,Between Stages,Operating,Well Swap,,17,
Briscoe Cochina East 46 HZ,42-283-36978,25,L1,4/15/20,20:57,4/15/20,22:55,,Operating,Pumping,"All Prop Placed, Good stage.",118,
Briscoe Cochina East 46 HX,42-283-36979,,L1,4/15/20,22:55,4/15/20,23:11,Between Stages,Operating,Well Swap,,16,
Briscoe Cochina East 46 HX,42-283-36979,26,L1,4/15/20,23:11,4/16/20,1:13,,Operating,Pumping,FP12 packing hole 1; all proppant placed.,122,
Briscoe Cochina East 46 HY,42-283-36980,,L1,4/16/20,1:13,4/16/20,1:35,Between Stages,Operating,Well Swap,,22,
Briscoe Cochina East 46 HY,42-283-36980,26,L1,4/16/20,1:35,4/16/20,3:38,,Operating,Pumping,"No problems, good stage.",123,
Briscoe Cochina East 46 HZ,42-283-36978,,L1,4/16/20,3:38,4/16/20,3:55,Between Stages,Operating,Well Swap,,17,
Briscoe Cochina East 46 HZ,42-283-36978,26,L1,4/16/20,3:55,4/16/20,5:59,,Operating,Pumping,FP27 v/s; All Prop Placed. Good stage.,124,
Briscoe Cochina East 46 HX,42-283-36979,,L1,4/16/20,5:59,4/16/20,6:00,Between Stages,Operating,Maintenance-Scheduled ,,1,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/16/20,6:00,4/16/20,7:59,Between Stages,Operating,Maintenance-Scheduled ,shift change; DV PCs restarted; Swapping out FP59 and FP27; FP12 packing hole 1.,119,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/16/20,7:59,4/16/20,8:23,Between Stages,Operating,Prime and Test,,24,
Briscoe Cochina East 46 HX,42-283-36979,27,L3,4/16/20,8:23,4/16/20,10:23,,Operating,Pumping,FP40 V&S; FP3 V&S; had to empty hopper to clear rocks from mesh; ran a sweep due high pressure; cut 2 loads short,120,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/16/20,10:23,4/16/20,10:42,Between Stages,Operating,Well Swap,,19,
Briscoe Cochina East 46 HY,42-283-36980,27,L3,4/16/20,10:42,4/16/20,13:02,,Operating,Pumping,"FP60 packing hole 5; All Prop Placed, Good stage.",140,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/16/20,13:02,4/16/20,13:16,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HZ,42-283-36978,27,L3,4/16/20,13:16,4/16/20,15:19,,Operating,Pumping,"All Prop Placed, Good stage.",123,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/16/20,15:19,4/16/20,15:35,Between Stages,Operating,Well Swap,,16,
Briscoe Cochina East 46 HX,42-283-36979,28,L3,4/16/20,15:35,4/16/20,17:37,,Operating,Pumping,"All Prop Placed, Good stage.",122,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/16/20,17:37,4/16/20,17:54,Between Stages,Operating,Well Swap,,17,
Briscoe Cochina East 46 HY,42-283-36980,28,L3,4/16/20,17:54,4/16/20,18:00,,Operating,Pumping,,6,
Briscoe Cochina East 46 HY,42-283-36980,28,L1,4/16/20,18:00,4/16/20,19:57,,Operating,Pumping,"All Prop Placed, Good stage.",117,
Briscoe Cochina East 46 HZ,42-283-36978,,L1,4/16/20,19:57,4/16/20,21:46,Between Stages,Operating,Maintenance-Scheduled ,"FP5-packing hole3; FP55-Dring ring 2,4,5;FP3,FP60 & FP40-rigged out of line all valves and seats;placed in FP16,FP27 & FP59.",109,
Briscoe Cochina East 46 HZ,42-283-36978,,L1,4/16/20,21:46,4/16/20,22:06,Between Stages,Operating,Prime and Test,,20,
Briscoe Cochina East 46 HZ,42-283-36978,28,L1,4/16/20,22:06,4/17/20,0:18,,Operating,Pumping,"During the 1.50ppg(6983bbls into the stage) a clean sweep was initiated in order to mitigate the rapid increasing pressure. Once the clean sweep hit formation and pressure decreased, proppant was once again re-initaited and proppant concentration in steps in 0.5ppg. ",132,
Briscoe Cochina East 46 HX,42-283-36979,,L1,4/17/20,0:18,4/17/20,0:35,Between Stages,Operating,Well Swap,,17,
Briscoe Cochina East 46 HX,42-283-36979,29,L1,4/17/20,0:35,4/17/20,2:35,,Operating,Pumping,"No problems, good stage.",120,
Briscoe Cochina East 46 HY,42-283-36980,,L1,4/17/20,2:35,4/17/20,2:53,Between Stages,Operating,Well Swap,,18,
Briscoe Cochina East 46 HY,42-283-36980,29,L1,4/17/20,2:53,4/17/20,4:54,,Operating,Pumping,"No problems, good stage.",121,
Briscoe Cochina East 46 HZ,42-283-36978,,L1,4/17/20,4:54,4/17/20,5:13,Between Stages,Operating,Well Swap,,19,
Briscoe Cochina East 46 HZ,42-283-36978,29,L1,4/17/20,5:13,4/17/20,6:00,,Operating,Pumping,,47,
Briscoe Cochina East 46 HZ,42-283-36978,29,L3,4/17/20,6:00,4/17/20,7:15,,Operating,Pumping,"Shift change; All Prop Placed, Good stage.",75,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/17/20,7:15,4/17/20,7:30,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HX,42-283-36979,30,L3,4/17/20,7:30,4/17/20,9:28,,Operating,Pumping,"All Prop Placed, Good stage.",118,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/17/20,9:28,4/17/20,9:45,Between Stages,Operating,Well Swap,,17,
Briscoe Cochina East 46 HY,42-283-36980,30,L3,4/17/20,9:45,4/17/20,11:45,,Operating,Pumping,"All Prop Placed, Good stage.",120,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/17/20,11:45,4/17/20,13:15,Between Stages,Operating,Maintenance-Scheduled ,Scheduled pump maintenance; Rebooted computers.,90,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/17/20,13:15,4/17/20,13:33,Between Stages,Operating,Prime and Test,,18,
Briscoe Cochina East 46 HZ,42-283-36978,30,L3,4/17/20,13:33,4/17/20,15:39,,Operating,Pumping,"FP59 packing hole 4, Good stage.",126,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/17/20,15:39,4/17/20,15:55,Between Stages,Operating,Well Swap,,16,
Briscoe Cochina East 46 HX,42-283-36979,31,L3,4/17/20,15:55,4/17/20,17:55,,Operating,Pumping,"All Prop Placed, Good stage.",120,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/17/20,17:55,4/17/20,18:00,Between Stages,Operating,Well Swap,,5,
Briscoe Cochina East 46 HY,42-283-36980,,L1,4/17/20,18:00,4/17/20,18:14,Between Stages,Operating,Well Swap,,14,
Briscoe Cochina East 46 HY,42-283-36980,31,L1,4/17/20,18:14,4/17/20,20:18,,Operating,Pumping,"All Prop Placed, Good stage.",124,
Briscoe Cochina East 46 HZ,42-283-36978,,L1,4/17/20,20:18,4/17/20,20:34,Between Stages,Operating,Well Swap,,16,
Briscoe Cochina East 46 HZ,42-283-36978,31,L1,4/17/20,20:34,4/17/20,22:46,,Operating,Pumping,"All Prop Placed, Good stage.FP8-V&S;FP25-packing hole 1.",132,
Briscoe Cochina East 46 HX,42-283-36979,,L1,4/17/20,22:46,4/17/20,23:02,Between Stages,Operating,Well Swap,,16,
Briscoe Cochina East 46 HX,42-283-36979,32,L1,4/17/20,23:02,4/17/20,23:27,,Operating,Pumping,"4"" chiksan started leaking on 0.25ppg sand concentration.",25,
Briscoe Cochina East 46 HX,42-283-36979,,L1,4/17/20,23:27,4/17/20,23:44,During Stage,NPT_Operations,Iron,Flushing well with pumpdown and changing out chiksan.,17,
Briscoe Cochina East 46 HX,42-283-36979,,L1,4/17/20,23:44,4/18/20,0:01,During Stage,NPT_Operations,Prime and Test,,17,
Briscoe Cochina East 46 HX,42-283-36979,32,L1,4/18/20,0:01,4/18/20,1:43,,Operating,Pumping,FP27 v/s; FP31 Dring hole 5; FP40 packing hole; all proppant placed.,102,
Briscoe Cochina East 46 HY,42-283-36980,,L1,4/18/20,1:43,4/18/20,3:28,Between Stages,Operating,Maintenance-Scheduled ,"DV PCs restarted; Swapping out FP23, FP8, FP27, and FP59; FP25 packing hole 1; FP31 Dring hole 5.",105,
Briscoe Cochina East 46 HY,42-283-36980,32,L1,4/18/20,3:28,4/18/20,5:30,,Operating,Pumping,FP5 packing hole 2; all proppant placed.,122,
Briscoe Cochina East 46 HZ,42-283-36978,,L1,4/18/20,5:30,4/18/20,5:51,Between Stages,Operating,Well Swap,,21,
Briscoe Cochina East 46 HZ,42-283-36978,32,L1,4/18/20,5:51,4/18/20,6:00,,Operating,Pumping,,9,
Briscoe Cochina East 46 HZ,42-283-36978,32,L3,4/18/20,6:00,4/18/20,6:28,,Operating,Pumping,Shift change; SD due to BL4 discharge manifold pinhole,28,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/18/20,6:28,4/18/20,6:48,During Stage,NPT_Operations,Blender,swapping to BL11,20,
Briscoe Cochina East 46 HZ,42-283-36978,32,L3,4/18/20,6:48,4/18/20,8:35,,Operating,Pumping,resumed stage; FP55 pony rod clamp came off; FP30 V&S; All Prop Placed,107,
Briscoe Cochina East 46 HX,42-283-36979,,L3,4/18/20,8:35,4/18/20,9:02,Between Stages,Operating,Well Swap,,27,
Briscoe Cochina East 46 HX,42-283-36979,33,L3,4/18/20,9:02,4/18/20,11:08,,Operating,Pumping,"FP55 V&S; FP28 packing hole 5; FP25 packing hole 3; FP37 V&S;  FP11 V&S; All Prop Placed, Good stage.",126,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/18/20,11:08,4/18/20,11:38,Between Stages,Operating,Well Swap,,30,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/18/20,11:38,4/18/20,12:08,Between Stages,NPT_Operations,Pump Maintenance,"ended last stage with 12 pumps, need 14 before we start next stage",30,
Briscoe Cochina East 46 HY,42-283-36980,,L3,4/18/20,12:08,4/18/20,12:31,Between Stages,NPT_Operations,Prime and Test,,23,
Briscoe Cochina East 46 HY,42-283-36980,33,L3,4/18/20,12:31,4/18/20,14:37,,Operating,Pumping,"All Prop Placed, Good stage.",126,
Briscoe Cochina East 46 HZ,42-283-36978,,L3,4/18/20,14:37,4/18/20,14:52,Between Stages,Operating,Well Swap,,15,
Briscoe Cochina East 46 HZ,42-283-36978,33,L3,4/18/20,14:52,4/18/20,17:01,,Operating,Pumping,"FP30 packing hole 5; All Prop Placed, Good stage.",129,
